offer_id,name_of_offer,offer_type,reward,cost,offer-description,isBundle,BundleDuration,imageOverride,imageOverrideSize,stockpile,tags,overlayPng,customReq,overlayOpacity,backgroundImage,backgroundOpacity
uaf_normal_item1,Mother of All Bombs,MISC,uaf_moab:1:NORMAL_ITEM,points:240:POINTS,"The BFB-90/XL AWP Class I is an experimental all-weather precision-guided high-yield munition, designed initially for the super-large orbital spacecraft Rafflesya. It is by far the most powerful conventional munition ever developed in the Auroran arsenal. The bomb is capable of airburst or deep penetration and deployed in various conditions, like under atmospheric conditions or in space through rocket assistance. The firepower it packed is enough to annihilate anything within two kilometers of its blast center depending on the airburst setting or pierce through 15 meters of reinforced concrete with its specialised tip. Authorised commanders are permitted to procure these munitions for atmospheric ground supports during raids and planetary operations.",false,0,,,5:100,uaf_reputation_FAVORABLE,,,,,
uaf_normal_item2,Atmospheric Munitions,MISC,uaf_atmo_munition:1:NORMAL_ITEM,points:120:POINTS,Crates of atmospheric-capable munition are constantly available for procurement by those needing specialised munition to support ground operations. The high-calibre ammunition used primarily in Auroran naval guns are typically reinforced with heat resistant coating and plating in order to survive atmospheric entries and deliver their explosive payloads as guided by the internal guidance system to their marks safely and accurately. ,false,0,,,10:60,uaf_reputation_FAVORABLE,,,,,
,,,,,,,,,,,,,,,,
#Officers,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
uaf_neuko_officer1,'Courtesean' Neuko Core,OFFICER,uaf_courtesan_core:1:OFFICER,points:1500:POINTS,"The Courtesan Type Neuko Core is the most basic AI core that is able to independently operate Automata ships. Classified as a Gamma-level AI by the Domain’s standard, Courtesan Type is originally designed mainly for the entertainment field but later found uses in various fields as well, including in the military. Its higher memory capacity, limited creative skills and semi-autonomous trait allows its repurposing as a ship command core within the Automata Expeditionary Division, freeing more specialised AI cores for other roles. Whilst more capable than regular automation, it still lacks the necessary computational power and algorithms to compete with proper military-grade AI command cores and just barely on par with human captain’s skills.",false,0,neuko_core_courtesan,"192,359",3:120,uaf_reputation_NEUTRAL,,,,,
uaf_neuko_officer2,'Princess' Neuko Core,OFFICER,uaf_princess_core:1:OFFICER,points:2750:POINTS,"The Princess Type Neuko Core is the military-grade AI core intended for Automata ships’ operations. Classified as a Beta-level AI by the Domain’s standard, Princess Type is specifically designed as command cores to operate all types of combat ships within the Automata Expeditionary Division’s service, from the most basic frigates to the most advanced supercarrier. Specialised algorithms and expanded memory capacity allows ships to be operated skillfully on par with a regular human captain. ",false,0,neuko_core_princess,"192,359",2:120,uaf_reputation_FAVORABLE,,,,,
uaf_neuko_officer3,'Crown Princess' Neuko Core,OFFICER,uaf_crown_princess_core:1:OFFICER,points:4200:POINTS,"The Crown Princess Type Neuko Core is by far the most advanced AI core produced to operate capital ships. Classified as an Alpha-level AI by the Domain’s standard, Crown Princess Type is considered the “leader” class of the current Neuko AI lineup and extremely capable as a command core. Crown Princess Type is normally used to control capital-size ships or acting as the local network’s primary anchor for other Neuko AI Cores within the Automata Expeditionary Division’s extensive AI network. Incredibly large memory capacity, highly advanced algorithms and high level of autonomy allows extremely effective captaincy during combat, sometimes exceeding even that of a human captain.",false,0,neuko_core_crown_princess,"192,359",1:120,uaf_reputation_FRIENDLY,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
#SHIPS,,,,,,,,,,,,,,,,
uaf_ship_1,Lillaru (XIV),SHIP,uaf_lillaru#uaf_hg_lillaru_assault:1:SHIP,points:3360:POINTS,"A heavily modified Lillaru-class heavy cruiser bearing the Fourteenth Battlegroup’s livery currently on special auction for interested parties. Different from the regular Lillaru and standard Auroran doctrines, she features Hegemony’s unique modification instead, bearing a different weapon loadout, heavier armour and modified subsystems to fit within the classic “decisive battle” doctrine.  Her history traced back to the earliest point of the Federation’s history in the Sector and was captured by a Hegemony investigation task force during an accidental encounter. Modified for infiltration purposes, she was later repatriated back to the Aurorans as part of a peace agreement, though not that people expected it to last. Now, she is up for adoption by those interested in the uniqueness or adopting the “decisive battle” doctrine.",false,0,lillaru_hg,"150,150",2:240,uaf_reputation_FAVORABLE,,,,,
uaf_ship_2,Procastria (MP),SHIP,uaf_procastria_prototype:1:SHIP,points:3610:POINTS,"A prototype cruiser featuring rapid combat acceleration and technology leased from the Great Houses of Kassadar for cruiser actions. The design was a result of collaboration between the Great Houses’ High Domain technologies and Auroran engineering protocols. Serving as a testbed for untested foreign technology during the early heydays of the Federation in the Sector, the design spends more time in testing new equipment and rearline patrols than actual frontline combats. The prototype design is now available for exchange for those interested in a nimble cruiser that features the Great Houses’ technology.   ",false,0,procastria_gh,"150,150",2:240,uaf_reputation_FAVORABLE,,,,,
uaf_ship_3,Super Nakiha (MP),SHIP,uaf_super_nakiha_prototype:1:SHIP,points:1350:POINTS,"Considered the most advanced evolution of the Nakiha base design, the Super Nakiha functions more like a destroyer leader rather than a traditional light frigate that the design is based on. Featuring high speed, extreme manoeuvrability and improved avionics for ship-to-ship combat, she often piloted more like a large strikecraft rather than an actual destroyer by some captains. Despite her incredible performance, unlucky circumstances had plagued the class’ reputation so much that only brave captains ever took the risks to command them into combat. Production delays and other difficulties meant only a limited number were ever produced, with three being released for exchange from the November Fleet’s inventory.",false,0,super_nakiha,"150,150",3:300,uaf_reputation_NEUTRAL,,,,,
uaf_ship_4,Fusoreina II (MP),SHIP,uaf_m_fusoreina:1:SHIP,points:9050:POINTS,"The Fusoreina-class battleship represents the stopgap solution for a heavily armoured, frontal assault battleship in countering other similar battleships like the Onslaught-class. She was intended as an experimental testbed for testing new damper fields and the Reflecta Armour Plate System, the Auroran solution to the protection question in exchange of traditional energy shields. High development cost and expensive armour system resulted in her class’ cancellation with only a few ever produced for testing. Nevertheless, there are still operational demands that require the ship’s incredible protection and frontal lethality, hence some being released for limited exchange for those needing such vessels in duelling heavily armoured opponents.",false,0,fusoreina,"150,150",1:365,uaf_reputation_FRIENDLY,,,0.4,,
uaf_ship_5,Lyora (MP),SHIP,uaf_lyora_prototype:1:SHIP,points:1100:POINTS,"A post-Departure design, the highly specialised Lyora-class strike destroyer is designed in response to the technological threats seen in the Sector. She features strong protection for her size and is pre-equipped with various missile launchers, notably the experimental Lion’s Roar missile system, in delivering nuclear strikes. She serves as part of the nuclear deterrence network within the Auroran Navy, with additional orders for the ships made available for trusted captains under special exchanges. ",false,0,lyora,"150,150",2:200,uaf_reputation_FAVORABLE,,,,,
uaf_ship_6,Maisya (MP),SHIP,uaf_ai_maisya:1:SHIP,points:5700:POINTS,"The Maisya-class light cruiser was originally intended to be an one-off testbed for testing out experimental energy weapons. Reconstruction of the design by the Automata Expeditionary Division later on has transformed the Maisya into a highly capable fast light cruiser equipped with matured energy-based weapon system, incredible manoeuvrability and advanced avionics and sensors for lightning-fast combat. The inherent design flaws of thin armour and unoptimised flux grid remain unaddressed however. Occasionally, the Auroran Naval Research Bureau will include the Maisya light cruiser as part of the Exchange List for field testing, with specific warning about the onboard transmitters used to transmit combat logs back to ANRB.",false,0,maisya,"150,150",2:240,uaf_reputation_WELCOMING,,,,,
uaf_ship_7,Sentry (M),SHIP,uaf_m_sentry:1:SHIP,points:3250:POINTS,"The Sentry series is essentially a fleet support weapon system that barely qualifies as a combat vessel. Designed originally as an orbital railgun system to destroy or disable ships at extreme ranges with her Tona-IV 608mm railgun, cruiser-grade engines for mobility and MLRS cells for close engagements were added later on for limited fleet actions. The Sentry series remain in limited production for defending Auroran facilities and as specialist artillery cruisers for those wanting to engage their targets at extreme ranges.
This particular variant is the one used by the November Fleet, featuring more robust armour and four MLRS batteries of Sakura micromissiles for saturation attacks.
",false,0,sentry,"150,150",1:300,uaf_reputation_WELCOMING,,,,,
uaf_ship_8,Sentry (CY/MP),SHIP,uaf_cy_sentry:1:SHIP,points:3550:POINTS,"The Sentry series is essentially a fleet support weapon system that barely qualifies as a combat vessel. Designed originally as an orbital railgun system to destroy or disable ships at extreme ranges with her Tona-IV 608mm railgun, cruiser-grade engines for mobility and MLRS cells for close engagements were added later on for limited fleet actions. The Sentry series remain in limited production for defending Auroran facilities and as specialist artillery cruisers for those wanting to engage their targets at extreme ranges.
This particular variant is modified by the Automata Expeditionary Division, featuring better targeting systems, stealth characteristics and a second Tona railgun for rapid fire.
",false,0,sentry,"150,150",1:300,uaf_reputation_WELCOMING,,,,,
uaf_ship_9,Sunami (MP),SHIP,uaf_sunami_prototype:1:SHIP,points:2950:POINTS,"The Sunami-class planetary landing support cruiser is the original candidate designed for planetary and marine landing operations before the cheaper and simpler Machi-class landing ship’s design is adopted for mass commissioning. The support cruiser bears design lineage from the multirole amphibious ship during the seafaring age, capable of rapidly deploying marines into combat zones, supporting flight operations with her atmospheric-capable flight deck and supporting ground operations with her onboard missile launchers and naval guns. However, high production and maintenance cost prevented the widespread adoption of Sunami and many ended up serving in special operation units instead. Some can be found harboured around Favonius and included into the Exchange List. ",false,0,sunami,"150,150",2:280,uaf_reputation_FAVORABLE,,,,,
uaf_ship_10,Isenoria (MP),SHIP,uaf_m_isenoria:1:SHIP,points:9480:POINTS,"The experimental Isenoria aviation battleship, nicknamed the Fedex Deliverer, served as the proof of concept of the battlecarrier at a time when dedicated flat-deck aircraft carriers were the norm within the Auroran naval doctrine. She combines both the frontline characteristics of a battleship and flexibility of a carrier into the converted hull of a Reisen II-class battleship. Her unique flight deck arrangement made Isenoria a suitable battlecarrier for deploying heavy wing strikecrafts, with the stern flight deck being the only one large enough to carry the Rafflesya strategic bombers. Whilst missing her chance to become the Navy’s main battlecarrier due to the development of Zepporia battlecarrier and her rather improvised conversion reduced her efficiency in both roles, the Isenoria still manages to find a niche as a strategic bomber battlecarrier. ",false,0,isenoria,"150,150",1:320,uaf_reputation_WELCOMING,,,,,
uaf_ship_11,Eyeseau (MP),SHIP,uaf_eyeseau:1:SHIP,points:6500:POINTS,"The Eyeseau-class intelligence auxiliary vessel is one of the most unique ships ever seen operating in the vast space of the Persean Sector, providing extensive early warnings and advanced tracking systems fleetwide. The support vessel comes with a radar system capable of multi-tracking and supporting Auroran AEGIS system in interception and targeting, advanced sensor suites for various levels of detection and early warning, and other additional suites for various purposes like surveys and information management. The extremely versatile support vessel sees extensive service within the Auroran expeditionary force, with popular demands from outside resulting in its limited availability at Favonius for exchange.",false,0,eyeseau,"150,150",1:365,uaf_reputation_WELCOMING,,,,,
uaf_ship_12,Ularaya (MP),SHIP,uaf_ularaya_prototype:1:SHIP,points:4000:POINTS,"Based on the highly advanced Scholar-class cruiser whose origin remained a mystery, the Ularaya cruiser design was originally intended to fill the Navy’s requirement for a missile cruiser. However, development delays due to complications in reverse-engineering and extensive redesigning caused her late commissioning and the project’s cancellation later on. Filling the same niche as the Purcellyra-class missile battlecruiser whilst maintaining flexibility, she features an incredible amount of forward-facing missile launchers capable of delivering different payloads and supported by accelerated missile rack system as well as a hangar bay for fighter deployment. Only one ship is ever completed and put up for auction in the Exchange List.",false,0,ularaya,"150,150",1:240,uaf_reputation_FRIENDLY,,,,,
uaf_ship_13,Constelyria (SBR),SHIP,uaf_sbr_constelyria:1:SHIP,points:10000:POINTS,"A one-off design born from recovering an irreparable Zepporia-class supercarrier, the Constelyria-class supercarrier is a formidable battlecarrier which symbolised the long-standing collaboration between the United Aurora Federation Navy and the San Batavian Republic Navy. She is uniquely armed with the Garuda 808 positron spinal cannon and featuring a revised hangar system that combined both Auroran and San Batavian doctrines. High combat speed, decent armour and still heavily armed, the battlecarrier provides great flexibility for carrier captains who wish to fight more aggressively.",false,0,constelyria,"150,150",1:400,uaf_reputation_FRIENDLY,,,,graphics/shop_graphics/special_overlay_sbr.png,0.5
uaf_ship_14,Roria Esvernia II (SP),SHIP,uaf_supercap_roria_esvernia:1:SHIP,points:20000:POINTS,"The Roria Esvernia-class experimental siege battleship is by far the Automata Expeditionary Division’s most heaviest battleship ever commissioned in terms of firepower. Combining both the November Fleet’s overwhelming firepower doctrine and the Automata’s technological edge, the Roria Esvernia carries multiple Meitou Edge Type 4 disruptive cannons in casemated broadside mounts as well as two hangar bays for limited carrier operations. Her unique Fortress Protocol and increased overall protection also make her incredibly resilient in combat for an Automata ship. However, these advantages come with the cost of making her point defense capability rather weak for a capital ship and drastically reducing her manoeuvrability. Combined with her high design cost and unsuitability for the intended long-range exploration missions, the Roria Esvernia remains a niche all-gun battleship that never saw mass adoption.",false,0,roria_esvernia,"150,150",1:400,uaf_reputation_COOPERATIVE,,,,graphics/shop_graphics/special_overlay_sorc.png,0.5
uaf_ship_15,Mary Yi-Su (YRN),SHIP,uaf_yrn_mary_su:1:SHIP,points:4000:POINTS,"A highly customised Lillaru aviation cruiser and the personal flagship of Admiral Mary Yi-Su of the Grand Armada. A one-of-a-kind modification based on the admiral’s preference, the personalised Lillaru replaced her side missile mounts with flight decks and hangar bays for carrier operation instead. The reduction of weaponry is balanced with improved flight control system to coordinate carrier operations, improved reactor for better combat endurance and slightly improved protection with thicker armour and usage of Reflecta armour plates. Her unique flexibility and inexpensive operational cost for a carrier made the modification suitable for cruiser operations without sacrificing too much firepower like the Exoria-class aircraft carrier. ",false,0,lillaru_mary_su,"150,150",1:240,uaf_reputation_FAVORABLE,,,,,
uaf_ship_16,Mooparia (YRN),SHIP,uaf_yrn_mooparia:1:SHIP,points:18000:POINTS,"[ This is a limited offer and will be removed once the relevant quests are implemented in the future ]

Once the flagship of the Misthaven Fleet, the Mooporia is currently in the reserve and mainly serves as the Federation’s training fleet carrier. She reflects the Federation’s pre-Departure doctrine of conventional carrier operations, featuring spacious flight deck, extensive hangar systems and dual flight controllers. Whilst lacking her successor’s, the Zepporia, modularity, armaments and protection, she makes up for it with more hangar space for carrying more strikecrafts and specialisation in handling strikecraft deployments. Circumstances during the expedition had led to her being the only Milkydromeda-class fleet carrier present in the Persean Sector.",false,0,mooparia,"150,150",1:400,uaf_reputation_COOPERATIVE,,,,graphics/shop_graphics/special_overlay_mooparia.png,0.5
uaf_ship_17,Black Sorceress (SP),SHIP,uaf_ai_black_sorceress:1:SHIP,points:15000:POINTS,"[ This is a limited offer and will be removed once the relevant quests are implemented in the future. ]

The Black Sorceress is by far the Federation’s most sophisticated warship ever designed, being the closest the Federation ever got in understanding phase technology. Based upon the Aeria Charlotte-class flagship battlecruiser, she is larger in size and more heavily armed whilst being less armoured and slower. Uniquely and befitting of her name, she is capable of disrupting missile guidance systems with her Shinonian Scatter Array and dilating time through experimental usage of phase technology. The difficulties in operating the experimental technologies and complexities in her design and construction meant only one was ever built.",false,0,black_sorceress,"150,150",1:400,uaf_reputation_COOPERATIVE,,,,graphics/shop_graphics/special_overlay_sorc.png,0.5
,,,,,,,,,,,,,,,,
#BLUEPRINTS,,,,,,,,,,,,,,,,
uaf_bp_1,Standard Blueprint 1/2,MISC,uaf_standard_bp:1:SPECIAL_ITEM,points:13500:POINTS,"The first part of the standard technical data package made available only to collaborators cleared by the Auroran Diplomatic Bureau. It contains various blueprints pertaining to the common warships, auxiliary vessels, weapons and strikerafts currently in service with the United Aurora Federation Navy.",false,0,bp1,"150,150",,"unique,uaf_reputation_FRIENDLY",,,,,
uaf_bp_2,Standard Blueprint 2/2,MISC,uaf_standard_rare_bp:1:SPECIAL_ITEM,points:30000:POINTS,"The second part of the standard technical data package made available only to collaborators cleared by the Auroran Diplomatic Bureau. It contains various blueprints pertaining to the common warships, auxiliary vessels, weapons and strikerafts currently in service with the United Aurora Federation Navy.",false,0,bp2,"150,150",,"unique,uaf_reputation_FRIENDLY",,,,,
uaf_bp_3,November Blueprint 1/2,MISC,uaf_military_bp:1:SPECIAL_ITEM,points:15000:POINTS,"The first part of the unique technical data package made available only to collaborators cleared by both the Auroran Diplomatic Bureau and the November Fleet Command. It contains various blueprints pertaining to the improved warships, auxiliary vessels, weapons and strikerafts currently in service with the 1st Royal November Combined Fleet. The technical data notably contains modifications and improvements upon the standard designs, boosting better protection and unique three-tone dazzle camouflage patterns.",false,0,bp5,"150,150",,"unique,uaf_reputation_WELCOMING",,,,,
uaf_bp_4,November Blueprint 2/2,MISC,uaf_military_rare_bp:1:SPECIAL_ITEM,points:47500:POINTS,"The second part of the unique technical data package made available only to collaborators cleared by both the Auroran Diplomatic Bureau and the November Fleet Command. It contains various blueprints pertaining to the improved warships, auxiliary vessels, weapons and strikerafts currently in service with the 1st Royal November Combined Fleet. The technical data notably contains modifications and improvements upon the standard designs, boosting better protection and unique three-tone dazzle camouflage patterns.",false,0,bp6,"150,150",,"unique,uaf_reputation_WELCOMING",,,,,
uaf_bp_5,Automata Blueprint 1/2,MISC,uaf_automata_bp:1:SPECIAL_ITEM,points:18750:POINTS,"The first part of the classified technical data package made available only to collaborators cleared by both the Auroran Diplomatic Bureau and the Automata Expeditionary Command. It contains various blueprints pertaining to the highly advanced warships, auxiliary vessels, weapons and strikerafts currently in service with the Automata Expeditionary Division. The technical data notably contains classified military technology and experimental modifications to the standard designs.",false,0,bp3,"150,150",,"unique,uaf_reputation_COOPERATIVE",,,,,
uaf_bp_6,Automata Blueprint 2/2,MISC,uaf_automata_rare_bp:1:SPECIAL_ITEM,points:55000:POINTS,"The second part of the classified technical data package made available only to collaborators cleared by both the Auroran Diplomatic Bureau and the Automata Expeditionary Command. It contains various blueprints pertaining to the highly advanced warships, auxiliary vessels, weapons and strikerafts currently in service with the Automata Expeditionary Division. The technical data notably contains classified military technology and experimental modifications to the standard designs.",false,0,bp4,"150,150",,"unique,uaf_reputation_COOPERATIVE",,,,,
,,,,,,,,,,,,,,,,
#BUNDLE,,,,,,,,,,,,,,,,
uaf_bundle_kaysaar,Kaysaar's Frontier Bundle,COLONY,"uaf_dimen_microwave:1:SPECIAL_ITEM,uaf_rice_cooker:1:SPECIAL_ITEM,uaf_access_router:1:SPECIAL_ITEM,crew:1000:NORMAL_ITEM,heavy_machinery:1000:NORMAL_ITEM,supplies:2000:NORMAL_ITEM",points:20000:POINTS,"Under the Kaysaar Friendship Economic Plan, newcomers to colonisation programmes can apply for a special package that provides them with essential colony-level industry machinery and supplies in developing their new colonies. The basic necessities of setting up farmlands, creating bakeries, establishing infrastructures and propping up communication networks are all prepared within a singular package and giving colonisers quick start-ups. The special application and exchange rate is a one-time offer, with additional colony items that starfarers might want requiring separate exchanges.",true,210,banner1,"350,160",,"unique,uaf_reputation_WELCOMING",,,,,
uaf_bundle_lillaru_rillaru,Automata Cruiser Twin Package,SHIP,"uaf_ai_rillaru#uaf_ai_rillaru_edgerunner:1:SHIP,uaf_ai_lillaru#uaf_ai_lillaru_edgerunner:1:SHIP",points:18750:POINTS,"The iconic Auroran cruiser twins of Rillaru and Lillaru have now been upgraded to the Automata Type II configuration, featuring improved mobility and advanced subsystems to increase their flexibility and combat capabilities. The twin classes have served reliably as the Federation’s main multirole combat ships since their first commissioning. Currently, within the Automata Expeditionary Division with Neukos in command, the Laru Twins operate reliably as frontline combat ships. Courtesy of the Auroran Naval Research Bureau, a pair of Rillaru Type II and Lillaru Type II is available for exchange and testing by trusted starfarers. ",true,210,banner3,"350,160",,"unique,uaf_relation_FRIENDLY",,,,,
uaf_bundle_cruiser_package,Automata Light Expeditionary Package,SHIP,"uaf_ai_akatsuzuma#uaf_ai_akatsuzuma_edgerunner:1:SHIP,uaf_ai_vachasya#uaf_ai_vachasya_assault:1:SHIP,uaf_ai_vaharagiri#uaf_ai_vaharagiri_assault:1:SHIP",points:9500:POINTS,"Requirements for advanced light ships to serve as the Automata Expeditionary Division’s light screen and escorts resulted in the upgraded Akatsumatsu Type II light cruiser and two new destroyer designs, the light support destroyer Vahagiri and the destroyer leader Vachasya. Swift and stealthy, the ships are available for exchange as a package for those intending to trek the unexplored regions of the Sector or obtaining a reliable escort screen for their capital ships.",true,210,banner4,"350,160",,"unique,uaf_relation_FAVORABLE",,,,,
uaf_bundle_escort_package,Automata Stealth Recon Package,SHIP,"uaf_ai_nakiha#uaf_ai_nakiha_edgerunner:1:SHIP,uaf_ai_rama_corvette#uaf_ai_rama_corvette_edgerunner:1:SHIP,uaf_ai_perwira#uaf_ai_perwira_strike:1:SHIP",points:6250:POINTS,"The ever reliable Nakiha class of frigates have since received its most advanced upgrade to date in the form of highly advanced Nakiha Type II. Speedy, stealthy and a good card to be played in achieving tactical controls of the battlefield, the lineup of frigates and smallcrafts like the corvette Rama II and incredibly stealthy recon shuttle Perwira II are now available as a single package for any commanders seeking for a stealthy scouting screen and exploitation force. ",true,210,banner5,"350,160",,"unique,uaf_relation_FAVORABLE",,,,,
uaf_bundle_escort_carrier_package,Automata Escort Carrier Package,SHIP,"uaf_ai_exoria#uaf_ai_exoria_superiority:1:SHIP,uaf_ai_minoria#uaf_ai_minoria_strike:2:SHIP",points:9850:POINTS,"The Auroran famed carrier strike doctrine remains ever prevalent, even in the Automata Expeditionary Division. The venerable Exoria carrier and Minoria class light carriers have since transformed into stealthy, agile carriers through the Automata Type II configuration. The common formation of a single Exoria II carrier and two Minoria II escort carriers is made available as a single package for any carrier commanders seeking to surprise their opponents with unexpected carrier strikes.",true,210,banner7,"350,160",,"unique,uaf_relation_FAVORABLE",,,,,
uaf_bundle_carrier_package,Automata Supercarrier Package,SHIP,uaf_ai_neuxoria#uaf_ai_neuxoria_superiority:1:SHIP,points:15500:POINTS,"One of the key Automata naval programmes is the call for new and improved carrier designs, thus resulting in the development and construction of the state-of-the-art Neuxoria class supercarrier. The combination of stealth, expanded hangar spaces and improved flight control suites allow for the execution of stealthy carrier strike operations. The highly advanced carriers are made available together as a package for carrier commanders who seek to decisively dominate the battlespaces with strikecrafts.",true,210,banner6,"350,160",,"unique,uaf_relation_FRIENDLY",,,,,
uaf_bundle_resupply_1,Resupply Package I,MISC,"supplies:1000:NORMAL_ITEM,fuel:2000:NORMAL_ITEM",points:750:POINTS,The Naval Logistical Corps in Favonius is known to constantly support any visiting starfarers with supplies and anti-matter fuels for their long journeys. A complimentary replenishment plan has been arranged for those interested in immediately procuring ready-stock supplies and anti-matter fuels at a limited exchange rate.,true,0,resupply1,"350,160",1:30,uaf_reputation_NEUTRAL,,,,,
uaf_bundle_resupply_2,Resupply Package II,MISC,"supplies:2000:NORMAL_ITEM,fuel:4000:NORMAL_ITEM",points:1250:POINTS,The Naval Logistical Corps in Favonius is known to constantly support any visiting starfarers with supplies and anti-matter fuels for their long journeys. A standard replenishment plan has been arranged for those interested in immediately procuring ready-stock supplies and anti-matter fuels at a limited exchange rate.,true,0,resupply2,"350,160",1:45,uaf_reputation_NEUTRAL,,,,,
uaf_bundle_resupply_3,Resupply Package III,MISC,"supplies:3000:NORMAL_ITEM,fuel:6000:NORMAL_ITEM",points:2150:POINTS,The Naval Logistical Corps in Favonius is known to constantly support any visiting starfarers with supplies and anti-matter fuels for their long journeys. A dedicated replenishment plan has been arranged for those interested in immediately procuring ready-stock supplies and anti-matter fuels at a limited exchange rate.,true,0,resupply3,"350,160",1:60,uaf_reputation_NEUTRAL,,,,,
,,,,,,,,,,,,,,,,
#WEAPONS,,,,,,,,,,,,,,,,
