name,id,tier,rarity,tech/manufacturer,tags,uiTags,base value,unlocked,hidden,hiddenEverywhere,cost_frigate,cost_dest,cost_cruiser,cost_capital,script,desc,short,sModDesc,sprite
#Melody Engine,,,,,,,,,,,,,,,,,,,
Auroran Melody Modification,uaf_melodyEngine,,,Nova Drive Yards R&D,,,,,TRUE,,0,0,0,0,data.hullmods.uaf_melodyEngine,"Allows the installation of special engine reactor developed by the Nova Drive Yards R&D with enhanced fuel-burning. It's said to produce a distinct light purple-ish flame on ships installed with this engine. The engine also harbors ███████ frequency ██████ ████████ ██████ ██ resonance █████ ██████ █████ ████ ████████ ██████████ ████████, in which during █████████ █████████, it ████████ by 65 ██████████, 25 ██████████, 50 ██████ ██████████, 50 ███ ██████, 35 █████ █████",Engine Improvement,,graphics/hullmods/uaf_melodyengine.png
Melody Syncore,uaf_melody_syncore,,,Experimental Auroran Tech,,,,,TRUE,,0,0,0,0,data.hullmods.uaf_melodySyncore,Melody Syncore is a modified version of the existing Melody Drive that synchronizes the onboard weapon systems by tuning into a certain 'rhythm' in the sequence seen in the engineering line chart and actively calibrating them depending on the ship's needs.,Beam Weaponry Up,,graphics/hullmods/uaf_melodysyncore.png
,,,,,,,,,,,,,,,,,,,
#UAF Automata,,,,,,,,,,,,,,,,,,,
Auroran Automata Specification,uaf_automataSpec,,,Auroran Automata Expeditionary Division,hide_in_codex,,,,TRUE,,0,0,0,0,data.hullmods.uaf_automataSpecification,The Expeditionary Automata Division ships are usually given the best equipment available to the Federation and partially crewed with automated NEUKO androids that could give them an edge in exploration and combat. Such comprehensive modification however come at a cost as they aren't easily mass producible and require more active maintenance cycles to keep them running.,AI UAF upgrades.,,graphics/hullmods/uaf_automataspec.png
,,,,,,,,,,,,,,,,,,,
#UAF November,,,,,,,,,,,,,,,,,,,
Auroran Royal November Grade,uaf_militaryGrade,,,Auroran November Royal Navy,,,,,TRUE,,0,0,0,0,data.hullmods.uaf_militaryGrade,Her Royal Highness' November Fleet are the prominent defenders of the New Aurora that installs unique sets of upgrade and paints a rather stylish three-tone dazzle navy camouflage pattern on their ships which makes them stand out pretty well. Some may even have more than just internal modification which allows them to survive even longer in battle under pressure. ,Military UAF upgrades.,,graphics/hullmods/uaf_militarygrade.png
,,,,,,,,,,,,,,,,,,,
#Unique Ground Operation Built-ins,,,,,,,,,,,,,,,,,,,
Close Support Doctrine,uaf_ground_support,,,Auroran Federation Self-Defense Force,,,,,TRUE,,0,0,0,0,data.hullmods.uaf_groundSupport,The Auroran Marines are a derivative of the Auroran Federation Self-Defense Force responsible for conducting expeditionary and various other operations related to the Navy. They proved to be invaluable as they're the first to develop tactics and techniques of amphibious operations especially when considering the odds and challenges that no Aurorans have ever done before; interstellar warfare.,Improves effectiveness of raids.,,graphics/hullmods/uaf_groundsupport.png
Rogue Wave Doctrine,uaf_advanced_ground_support,,,Auroran Federation Self-Defense Force,,,,,TRUE,,0,0,0,0,data.hullmods.uaf_groundSupportAdvanced,"The doctrine was named after a powerful event that occurs in rough seas, it encourages the landing ship to be even more aggressive with their ordnance and overwhelm the enemy with both numbers and firepower. Due to the nature of this tactic, some captains would simply bring the ship along and use themselves as a shield to take incoming fire so that their landing forces land safely.",Improves effectiveness of raids.,,graphics/hullmods/uaf_roguewave.png
,,,,,,,,,,,,,,,,,,,
#Supercapital Hullmods,,,,,,,,,,,,,,,,,,,
Auroran Flagship Modifications,uaf_flagship,,,Auroran Tech,hide_in_codex,,,,TRUE,,0,0,0,0,data.hullmods.uaf_flagship,"The main flagship of UAF Fleet, with improved systems and efficiency, equipped with best of the best materials from UAF Military. Increases Ballistic ROF by %s, Range by %s, Projectile Speed by %s, Accuracy by %s, Turn Maneuverability by %s, Armor Bonus by %s. Also increase capacity by %s and dissipation rate by %s.",,,graphics/hullmods/uaf_flagship.png
Auroran Advanced Engineering,uaf_supercap_engineering,,,Auroran Tech,hide_in_codex,,,,TRUE,,0,0,0,0,data.hullmods.uaf_supercapEngineering,"Damage control is the most important step to ensure the survivability of both crew and ship. Auroran ship crew and other personnel are typically trained to be able to conduct basic repairs and firefighting, no matter how small the attempts may be, one well-placed tape at the right spot might make a real difference between life and death. Multiple types of equipment are typically readily available across the ship, ready to be used for when the situation demands it.",,,graphics/hullmods/uaf_flagship.png
Decentralized Engines,uaf_parentEngine,,,Auroran Tech,hide_in_codex,,,,TRUE,,0,0,0,0,data.hullmods.uaf_parentEngine,"The main engine of this ship is located on separate ship modules, both contributing to the speed and total maneuverability of this ship. Losing one operational engine exhaust might affect the ship maneuverability greatly.",,,graphics/hullmods/uaf_parentengine.png
Linked Engine,uaf_linkedEngine,,,Auroran Tech,hide_in_codex,,,,TRUE,,0,0,0,0,data.hullmods.uaf_linkedEngine,"This module houses the main engine of the ship, with dozens of engine exhausts to generate enough thrusts for the whole ship.",,,graphics/hullmods/uaf_solvernia_module_old.png
Linked Hangar,uaf_linkedHangar,,,Auroran Tech,hide_in_codex,,,,TRUE,,0,0,0,0,data.hullmods.uaf_linkedHangar,The hangar of this module can be controlled by the main ship module through mirroring the main ship command. The main ship has to have wing controls or the fighters would be on defensive mode around the ship.,,,
,,,,,,,,,,,,,,,,,,,
#Project LYNX,,,,,,,,,,,,,,,,,,,
Auroran Experimental Strikecraft,uaf_experimental_fighter,,,Nova Drive Yards R&D,hide_in_codex,,,,TRUE,,0,0,0,0,data.hullmods.uaf_fighterSystem,"An intricate bleeding-edge strikecraft design developed for the experimental fighter plane, the Project LYNX by Dr. Christine Forstner of the research and development department.

Due to its unique classification and limited logistic profile, certain upgrades and large modifications are not compatible with the Lynx.",Improved panel controls for the Lynx.,,graphics/hullmods/uaf_lynx_exp_strikecraft.png
Extensive Concurrent System,uaf_lynx_extensive_systems,,,Nova Drive Yards R&D,hide_in_codex,,,,TRUE,,0,0,0,0,data.hullmods.uaf_lynx_extensive_systems,"A specialized combat subsystem created only for the Project LYNX. Dr. Christine Forstner spent years in completing the ECS, her attempt of combining multiple combat abilities in one robust system ended up in a major success. However, the project LYNX never surface in the public knowledge, and every record about it were scrubbed and lost in obscurity.",Special Lynx system.,,graphics/hullmods/uaf_lynx_extensive_system.png
Main Weapon: Penulisa 40 AS/RF,uaf_lynx_selector_mw_penulisa,,,Nova Drive Yards R&D,hide_in_codex,,,,TRUE,,0,0,0,0,data.hullmods.uaf_lynx_main_weapon_selector,Penulisa 40 AS/RF has been selected for the main weapon.,Weapon option.,,graphics/hullmods/uaf_lynx_penulisa.png
Main Weapon: Tona IV/XL 608,uaf_lynx_selector_mw_tona,,,Nova Drive Yards R&D,hide_in_codex,,,,TRUE,,0,0,0,0,data.hullmods.uaf_lynx_main_weapon_selector,Tona IV/XL 608 has been selected for the main weapon.,Weapon option.,,graphics/hullmods/uaf_lynx_tona.png
Main Weapon: Garuda 808 XLC,uaf_lynx_selector_mw_garuda,,,Nova Drive Yards R&D,hide_in_codex,,,,TRUE,,0,0,0,0,data.hullmods.uaf_lynx_main_weapon_selector,Garuda 808 XLC has been selected for the main weapon.,Weapon option.,,graphics/hullmods/uaf_lynx_garuda.png
Warhead Type: Energy,uaf_lynx_selector_sakura_warhead_energy,,,Nova Drive Yards R&D,hide_in_codex,,,,TRUE,,0,0,0,0,data.hullmods.uaf_lynx_sakura_warhead_type_selector,An Energy type warhead has been loaded to the Sakura ASM/MLRS pod.,Variable warhead.,,graphics/hullmods/uaf_lynx_en.png
Warhead Type: Fragmentation,uaf_lynx_selector_sakura_warhead_fragmentation,,,Nova Drive Yards R&D,hide_in_codex,,,,TRUE,,0,0,0,0,data.hullmods.uaf_lynx_sakura_warhead_type_selector,A Fragmention type warhead has been loaded for the Sakura ASM/MLRS pod.,Variable warhead.,,graphics/hullmods/uaf_lynx_frag.png
Warhead Type: High Explosive,uaf_lynx_selector_sakura_warhead_highexplosive,,,Nova Drive Yards R&D,hide_in_codex,,,,TRUE,,0,0,0,0,data.hullmods.uaf_lynx_sakura_warhead_type_selector,An enhanced High Explosive type warhead has been loaded to the Sakura ASM/MLRS pod.,Variable warhead.,,graphics/hullmods/uaf_lynx_he.png
Warhead Type: Kinetic,uaf_lynx_selector_sakura_warhead_kinetic,,,Nova Drive Yards R&D,hide_in_codex,,,,TRUE,,0,0,0,0,data.hullmods.uaf_lynx_sakura_warhead_type_selector,A Kinetic type warhead has been loaded to the Sakura ASM/MLRS pod.,Variable warhead.,,graphics/hullmods/uaf_lynx_ke.png
,,,,,,,,,,,,,,,,,,,
#Project Lynx (Comic Fiesta 2025 Event),#Will be deleted after the event,,,,,,,,,,,,,,,,,,
#Event Modification,uaf_lynx_event,,,Nova Drive Yards R&D,hide_in_codex,,,,TRUE,,0,0,0,0,data.hullmods.uaf_lynx_event,A special modification made for the Lynx's combat simulation.,Temporary hullmod.,,graphics/hullmods/uaf_lynx_extensive_system.png
,,,,,,,,,,,,,,,,,,,
#EYESEAU,,,,,,,,,,,,,,,,,,,
EYESEAU Exploration Package,uaf_eyeseau_science,3,,Auroran Tech,,"Logistics, Support",12000,,,,0,0,0,25,data.hullmods.uaf_eyeseau_campaign,"The onboard advanced command and control system serves multiple functions that can be switched to two versions. The Exploration version allows the user to survey space objects or extraterrestial bodies easily from orbit at significantly cheaper cost. However, such sophisticated systems and devices are fragile and prone to damages which requires constant maintenance to remain functional.",Survey and exploration.,,graphics/hullmods/uaf_eyeseau_comm.png
EYESEAU Command and Control Package,uaf_eyeseau_command,3,,Auroran Tech,,"Logistics, Support, Defenses",12000,,,,0,0,0,25,data.hullmods.uaf_eyeseau_combat,"The onboard advanced command and control system serves multiple functions that can be switched to two versions. The Command version allows the user to relay commands and establish battlefield control more easily while providing passive support to the fleet. However, such sophisticated systems and devices are fragile and prone to damages which requires constant maintenance to remain functional.",Support and command.,,graphics/hullmods/uaf_eyeseau_comm.png
EYESEAU Improved Electronic Warfare,uaf_improved_electronic_warfare,,,Auroran Tech,hide_in_codex,,,,TRUE,,0,0,0,0,data.hullmods.uaf_electronicWarfare,"The improvements made especially for the Eyeseau Ship, improving almost everything regarding the ECCM and ECM Package. Increases ECCM by %s/%s/%s/%s but increases maintenance cost by %s and increase supply usage per month by %s.",,,
EYESEAU Improved Intelligence Equipment,uaf_improved_intelligence_equipment,,,Auroran Tech,hide_in_codex,,,,TRUE,,0,0,0,0,data.hullmods.uaf_improvedIntelligenceEquipment,"Improvements made especially for the Eyeseau Ship on the Surveying and Intelligence Equipment, also adds the modernized quantum equipments. Reduces survey equipment cost by %s/%s/%s/%s.",,,
EYESEAU Centralized Communication,uaf_centralized_communication,,,Auroran Tech,hide_in_codex,,,,TRUE,,0,0,0,0,data.hullmods.uaf_centralizedCommunication,"Improvements for the Eyeseau to make it able to act as a centralized communication ships, installing essential and extended communication equipments. Increases Missile Overall Maneuverabilities by 75%%.",,,
EYESEAU Omniscan Identifier,uaf_eyeseau_omniscan_identifier,,,Auroran Tech,hide_in_codex,,,,TRUE,TRUE,0,0,0,0,data.hullmods.uaf_eyeseau_omniscan_identifier,Identifier for the Omniscan ability. Don't touch this or I will bite your jugular. - Mayu,,,
,,,,,,,,,,,,,,,,,,,
#Modular Hullmods,,,,,,,,,,,,,,,,,,,
Secondary Focus,uaf_secondary_focus,3,,Auroran Tech,,Weapons,5000,,,,4,6,12,20,data.hullmods.uaf_secondaryfocus,"An Auroran arsenal computing systems that modify and adjust the specification of all weapons, providing various effects depending on the installed weapon type and size. Can only be installed on cruiser and capital.",,,graphics/hullmods/uaf_sec_focus.png
Squadron Suite,uaf_squadron_suite,3,,Auroran Tech,,Weapons,5000,,,,10,15,25,30,data.hullmods.uaf_squadron_suite,"A special tactical suite created for the %s, %s, %s and %s class ships, by having it installed, this will improve the combat parameters of certain eligible allied ships in combat. It has a varying effect depending on the ship where it is installed.",,,graphics/hullmods/uaf_squadron_suite.png
Light Wing Operation,uaf_light_wing_operation,3,,Auroran Tech,,Fighters,5000,,,,5,10,15,25,data.hullmods.uaf_carrier_light_wing_operation,"A support hullmod focused on interceptors and escort wings. Installable on any ships with at least one hangar bay, installing this in any non-Auroran ships will only provide %s of the bonuses.",,,graphics/hullmods/uaf_light_operation.png
Super-Heavy Wing Operation,uaf_super_heavy_wing_operation,3,,Auroran Tech,,Fighters,5000,,,,5,10,15,25,data.hullmods.uaf_carrier_super_heavy_wing_operation,"A support hullmod focused on gunships and elite wing operations. Installable on any ships with at least one hangar bay, installing this in any non-Auroran ships will only provide %s of the bonuses.",,,graphics/hullmods/uaf_heavy_operation.png
Reserve Wing Operation,uaf_reserve_wing_operation,3,,Auroran Tech,,Fighters,5000,,,,5,10,15,25,data.hullmods.uaf_carrier_reserve_wing_operation,"A special hullmod focused on providing the carrier a 'Second Wind' for its fighters, making it more efficient in a drawn out fight.",,,graphics/hullmods/uaf_reserve_operation.png
,,,,,,,,,,,,,,,,,,,
#Keycard Store Exclusives,,,,,,,,,,,,,,,,,,,
Edge Capacitors Retrofit,uaf_special_edge_capacitor_retrofit,5,,Auroran Tech,,"Special, Engines",10000,,,,15,30,45,75,data.hullmods.uaf_special_edge_capacitor_retrofit,Extensive retrofits to this ship's internals were done to replace all capacitors with Auroran Edge type capacitors radically affecting ship performance as it gets hotter.,Specialized Edge-based combat system.,,graphics/hullmods/uaf_edge_capacitors.png
Emergency Automated Assistance,uaf_special_emergency_automated_assistance,5,,Auroran Tech,,Weapons,10000,,,,3,6,9,15,data.hullmods.uaf_special_emergency_automated_assistance,"By configuring a Gamma Core-level A.I. aligned to the federation to help beleaguered captains and point defense gunners, any ship with this hullmod will experience an increase in point defense trajectory prediction, fire rate, and range when the ship's hull integrity falls below certain threshold.",Improves PD parameters in combat.,,graphics/hullmods/uaf_emergency_assistance.png
#Removed for now,,,,,,,,,,,,,,,,,,,
#Auroran Hybrid Rangefinder,uaf_special_hybrid_rangefinder,5,,Auroran Tech,,Weapons,10000,,,,5,10,15,25,data.hullmods.uaf_special_hybrid_rangefinder,"Optimized rangefinding and stabilization for hybrid mounts, extending the base range of hybrid weapons to match similar but larger weapons. Ballistic mounts receive partial range calibration by %s. Point-defense weapons are unaffected.",Increases base range of small and medium weapons in hybrid slots while ballistic gains half of the benefits.,,graphics/hullmods/generic_mod.png
,,,,,,,,,,,,,,,,,,,
#Fighter Built-ins,,,,,,,,,,,,,,,,,,,
Fighter Mod I,uaf_fighter_mod_1,,,Auroran Tech,,,,,TRUE,,0,0,0,0,data.hullmods.uaf_fighter_mod_1,Increases the damage dealt against fighters and missiles.,,,graphics/hullmods/generic_mod.png
Fighter Mod II,uaf_fighter_mod_2,,,Auroran Tech,,,,,TRUE,,0,0,0,0,data.hullmods.uaf_fighter_mod_2,"Increases the damage dealt against fighters, missiles and deals extra damage against ships and stations.",,,graphics/hullmods/generic_mod.png
Gunship Mod I,uaf_gunship_mod_1,,,Auroran Tech,,,,,TRUE,,0,0,0,0,data.hullmods.uaf_gunship_mod_1,Greatly improves the damage dealt against fighters and missiles. Deals extra damage against ships. Decreases fragmentation damage taken but it will receive more kinetic and high explosive damage.,,,graphics/hullmods/generic_mod.png
Personal Ace Modification,uaf_fighter_mod_ace,,,Auroran Tech,,,,,TRUE,,0,0,0,0,data.hullmods.uaf_fighter_mod_ace,Greatly improves the damage dealt against fighters and missiles. Deals extra damage against ships and stations.,,,graphics/hullmods/generic_mod.png
,,,,,,,,,,,,,,,,,,,
#Commissioned Crews,,,,,,,,,,,,,,,,,,,
Auroran Aircraft Modification,CHM_UAF,,,Auroran Top Gun Flight Academy,,,,,TRUE,,0,0,0,0,data.hullmods.uaf_cc_bonus,"Experienced aircrew and their pilots will tend to modify their spacecraft to further meet their expectations, sometimes went as far as overriding safeties and apply custom changes to their systems. Combine that with effective evasive maneuvers allows them to tank incoming damage in non-critical area. Some even argued that if they just ignore all the blinking red lights, it's nothing but a state of mind.",Improves fighter survivability.,,graphics/hullmods/uaf_aircraftmodificationcc.png
,,,,,,,,,,,,,,,,,,,
#Fusoreina / Armor Stuff,,,,,,,,,,,,,,,,,,,
Disposable Armor,uaf_disposable_armor,,,Experimental Auroran Tech,,,0,,TRUE,TRUE,0,0,0,0,data.hullmods.uaf_detachableArmor,Disposable Armor will detach if under certain HP Treshold,Fusoreina's unique armor mechanic.,,graphics/hullmods/uaf_reflectivearmor.png
Reflecta (EXA) Armor Plating,uaf_reflective_armor,,,Experimental Auroran Tech,,,0,,TRUE,,0,0,0,0,data.hullmods.uaf_reflectiveArmor,Reflecta (Experimental Armor) consists of multiple layers of different armor types. Each plating would contribute towards a single goal; protecting the ship by forcing the incoming projectile to either bounce away or soak up the damage and distribute equally across all surface. This armor proved to be highly effective but require ridiculous amount of power to function.,Fusoreina's unique armor mechanic.,,graphics/hullmods/uaf_reflectivearmor.png
Reflecta (EXA) II Heavy Armor Plating,uaf_reflective_armor_ii,,,Experimental Auroran Tech,,,0,,TRUE,,0,0,0,0,data.hullmods.uaf_reflectiveArmorv2,Reflecta (Experimental Armor) consists of multiple layers of different armor types. Each plating would contribute towards a single goal; protecting the ship by forcing the incoming projectile to either bounce away or soak up the damage and distribute equally across all surface. This armor proved to be highly effective but require ridiculous amount of power to function.,Fusoreina's unique armor mechanic.,,graphics/hullmods/uaf_reflectivearmor.png
,,,,,,,,,,,,,,,,,,,
#Solvernia,,,,,,,,,,,,,,,,,,,
Solvernia Core,uaf_supercap_core_slv,,,Auroran November Royal Navy,,,,,TRUE,,0,0,0,0,data.hullmods.uaf_solvernia_core,"The main flagship of UAF Fleet, with improved systems and efficiency, equipped with best of the best materials from UAF Military.",,,graphics/hullmods/uaf_solvernia_core.png
Solvernia Module,uaf_supercap_module_slv,,,Auroran November Royal Navy,,,,,TRUE,,0,0,0,0,data.hullmods.uaf_solvernia_module,"An Auroran precision module specially designed for the Honorary Admiral’s control interface, allowing her to maximise power toward her volleys, at the cost of an increase in the time it takes to calculate firing solutions.",,,graphics/hullmods/uaf_solvernia_module.png
,,,,,,,,,,,,,,,,,,,
#Novaeria,,,,,,,,,,,,,,,,,,,
Novaeria Core,uaf_supercap_core_novaeria,,,Auroran Automata Expeditionary Division,,,,,TRUE,,0,0,0,0,data.hullmods.uaf_novaeria_core,"The deep space exploration carrier of UAF Fleet, with improved systems and efficiency, equipped with best of the best materials from UAF Military.",Novy's core hullmod.,,graphics/hullmods/uaf_novaeria_core.png
Novaeria Module,uaf_supercap_module_novaeria,7,0,Auroran Automata Expeditionary Division,"no_sell, no_dealer, no_drop, no_drop_salvage, restricted, hide_in_codex",,,FALSE,,,0,0,0,0,data.hullmods.uaf_novaeria_module,"An Auroran precision module specially designed for the Honorary Admiral’s control interface, allowing her to maximise power toward her volleys, at the cost of an increase in the time it takes to calculate firing solutions.",Novy's module hullmod.,,graphics/hullmods/uaf_novaeria_module.png
Mobile Fleet Comm Relay,uaf_mobile_comm_relay,,,Auroran Automata Expeditionary Division,,,,,TRUE,,0,0,0,0,data.hullmods.uaf_mobile_comm_relay,"A high-end pseudo communication relay is built-in the ship, allowing the fleet to receive intel while exploring the remote corners of the sector.",Portable comm relay with restrictions.,,graphics/hullmods/uaf_novaeria_comm.png
Novaeria Core Configurator,uaf_supercap_core_novaeria_configurator,,,Auroran Automata Expeditionary Division,hide_in_codex,,,,TRUE,TRUE,0,0,0,0,data.hullmods.uaf_supercap_core_novaeria_configurator,"Configuration handler.
""Don't touch this or I will break your neck.""
-Mayu",System.,,graphics/hullmods/generic_mod.png
Wing OP Cost Reduction: ON,uaf_novaeria_config_on,,,Auroran Automata Expeditionary Division,hide_in_codex,,,,TRUE,,0,0,0,0,data.hullmods.uaf_novaeria_config_selector,The LPC's OP cost reduction bonus is on.,System.,,graphics/hullmods/uaf_arithmetic_control_on.png
Wing OP Cost Reduction: OFF,uaf_novaeria_config_off,,,Auroran Automata Expeditionary Division,hide_in_codex,,,,TRUE,,0,0,0,0,data.hullmods.uaf_novaeria_config_selector,The LPC's OP cost reduction bonus is off.,System.,,graphics/hullmods/uaf_arithmetic_control_off.png
,,,,,,,,,,,,,,,,,,,
#Procrastria,,,,,,,,,,,,,,,,,,,
Auroran Prototype Engineering,uaf_proto_gh_engineering,,,Nova Drive Yards R&D,,,,,TRUE,,0,0,0,0,data.hullmods.uaf_proto_gh_engineering,"A one-of-a-kind iteration of the Auroran Engineering that is tied to a special temporal device, due to its experimental nature, only few selected Auroran vessels have this modification. It is built to test the limits of its time-altering capabilities and potential. Further development is currently unknown.",Alters timeflow in combat.,,graphics/hullmods/uaf_auroran_engineering_sys.png
,,,,,,,,,,,,,,,,,,,
#Roria | Casemates,,,,,,,,,,,,,,,,,,,
Innovative Casemate Mounts,uaf_casemate_mounts,7,0,Auroran Tech,"no_sell, no_dealer, no_drop, no_drop_salvage, restricted, hide_in_codex",,,FALSE,,,0,0,0,0,data.hullmods.uaf_casemate_mounts,"Weapon emplacements are covered by a thick layer of armor, providing great protection and increased durability against damage in combat while slightly increasing its base range.",Increased weapon durability.,Increases all weapons's rate of fire in turret slot by %s while reducing their weapon flux generation by %s.,graphics/hullmods/uaf_casemate_inno.png
Casemate Mounts,uaf_casemate_mounts_ii,7,0,Auroran Tech,"no_sell, no_dealer, no_drop, no_drop_salvage, restricted, hide_in_codex",,,FALSE,,,0,0,0,0,data.hullmods.uaf_casemate_mounts_ii,A lite version of the Casemate mounts armor layering. The effects are identical but has weaker parameters.,Increased weapon durability but less stronger.,Increases all weapons's rate of fire in turret slot by %s while reducing their weapon flux generation by %s.,graphics/hullmods/uaf_casemate.png
,,,,,,,,,,,,,,,,,,,
#Mooparia,,,,,,,,,,,,,,,,,,,
Adaptive Elite Command,uaf_adaptive_elite_command,,,Auroran Tech,hide_in_codex,,,,TRUE,,0,0,0,0,data.hullmods.uaf_adaptive_elite_command,"A specialized fighter support system that can further enhances certain Auroran wing hullmod. Once the eligible hullmod is installed, it will create a synergy effect.",,,graphics/hullmods/uaf_adaptive_command.png
,,,,,,,,,,,,,,,,,,,
#Super Nakiha,,,,,,,,,,,,,,,,,,,
Dimension Diver,uaf_super_nakiha_special_script,,,Nova Drive Yards R&D,hide_in_codex,,,,TRUE,TRUE,0,0,0,0,data.hullmods.uaf_super_nakiha_special_script,Unusual modification from an anomalous source.,System.,,graphics/hullmods/generic_mod.png
,,,,,,,,,,,,,,,,,,,
#Isenoria,,,,,,,,,,,,,,,,,,,
Rafflesya Manual Overrider,uaf_isenoria_manual_override,,,Experimental Auroran Tech,hide_in_codex,,,,TRUE,,0,0,0,0,data.hullmods.uaf_isenoria_manual_override,A special control system that transfers the main control from Isenoria to Rafflesya. This enables the manual override mode of the Rafflesya which can be piloted by its captain for more decisive tactical approach in combat.,System.,,graphics/hullmods/uaf_raffle_manual_gear.png
Rafflesya (M),uaf_isenoria_rafflesya_type_one,,,Experimental Auroran Tech,hide_in_codex,,,,TRUE,,0,0,0,0,data.hullmods.uaf_isenoria_rafflesya_selector,Changes the built-in wing into Rafflesya (M). This selected specs for Rafflesya is meant to deal massive alpha strike damage against enemies with its AWP Class I payload.,System.,,graphics/hullmods/uaf_raffle_option_1.png
Rafflesya II (M),uaf_isenoria_rafflesya_type_two,,,Experimental Auroran Tech,hide_in_codex,,,,TRUE,,0,0,0,0,data.hullmods.uaf_isenoria_rafflesya_selector,Changes the built-in wing into Rafflesya II (M). This selected specs for Rafflesya revolves around sustained offense and can launch devastating suppressive barrage of missiles against its target.,System.,,graphics/hullmods/uaf_raffle_option_2.png
,,,,,,,,,,,,,,,,,,,
#Black Sorceress,,,,,,,,,,,,,,,,,,,
Magic Circuits,uaf_black_sorceress_anomalous_hull,,,Experimental Auroran Tech,hide_in_codex,,,,TRUE,TRUE,0,0,0,0,data.hullmods.uaf_technologia_magia,Unusual modification from an anomalous source.,System.,,graphics/hullmods/generic_mod.png
,,,,,,,,,,,,,,,,,,,
#Linked Hullmod - Skill (defunct),,,,,,,,,,,,,,,,,,,
The Queen's Resolve,uaf_presence,,,,hide_in_codex,,,,TRUE,TRUE,0,0,0,0,data.hullmods.uaf_deploymentReduction,The Solvernia is now on board her own super capital ship which grants increased stat performance across the board and lowered deployment cost.  %s,Decreased DP,,graphics/hullmods/uaf_flagship.png
